Team,Player,Position,Total Points,Points Average,Value,On start %,Last 5 matchs points,J28,J29,J30,J31,J32,Avg ultimas 5 J
Athletic,Unai Simón,PT,123,4.4,3.500.000,88,"['5', '2', '2', '5', '1']",5,2,2,5,1,3.0
Athletic,Agirrezabala,PT,20,5,370.000,13,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0
Athletic,Ezkieta,PT,0,0,180.000,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0
Athletic,Iñigo Martínez,DF,115,5.5,5.540.000,63,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0
Athletic,Daniel Vivian,DF,107,5.4,3.620.000,59,"['4', '6', '2', '3', '4']",4,6,2,3,4,3.8
Athletic,Yeray Álvarez,DF,82,4.6,2.940.000,56,"['4', '4', '-', '3', '3']",4,4,0,3,3,2.8
Athletic,Lekue,DF,82,3.6,1.370.000,66,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0
Athletic,De Marcos,DF,81,4.8,1.680.000,44,"['2', '2', '3', '3', '-']",2,2,3,3,0,2.0
Athletic,Balenziaga,DF,77,3.2,1.220.000,69,"['3', '-', '-', '6', '-']",3,0,0,6,0,1.8
Athletic,Yuri Berchiche,DF,46,5.8,4.740.000,19,"['4', '13', '8', '-', '1']",4,13,8,0,1,5.2
Athletic,Unai Núñez,DF,24,2.7,490.000,22,"['-', '-', '4', '-', '-']",0,0,4,0,0,0.8
Athletic,Álex Petxarroman,DF,23,1.8,520.000,3,"['-', '2', '3', '4', '0']",0,2,3,4,0,1.8
Athletic,Capa,DF,0,0,560.000,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0
Athletic,Muniain,MD,196,6.8,11.080.000,88,"['9', '8', '4', '9', '4']",9,8,4,9,4,6.8
Athletic,Álex Berenguer,MD,118,4.1,4.630.000,69,"['4', '8', '13', '2', '4']",4,8,13,2,4,6.2
Athletic,Unai Vencedor,MD,92,3.3,2.140.000,81,"['5', '1', '3', '3', '5']",5,1,3,3,5,3.4
Athletic,Mikel Vesga,MD,74,2.7,1.330.000,41,"['2', '5', '4', '1', '3']",2,5,4,1,3,3.0
Athletic,Dani García,MD,71,2.7,1.030.000,69,"['-', '-', '-', '2', '-']",0,0,0,2,0,0.4
Athletic,Nico Williams,MD,67,2.3,4.030.000,19,"['3', '1', '2', '2', '2']",3,1,2,2,2,2.0
Athletic,Zarraga,MD,65,2.6,970.000,25,"['2', '-', '2', '2', '2']",2,0,2,2,2,1.6
Athletic,Nico Serrano,MD,39,3,550.000,9,"['2', '1', '-', '-', '4']",2,1,0,0,4,1.4
Athletic,Williams,DL,160,5,9.780.000,84,"['1', '5', '6', '4', '4']",1,5,6,4,4,4.0
Athletic,Raúl García,DL,130,4.5,4.580.000,59,"['2', '2', '5', '9', '5']",2,2,5,9,5,4.6
Athletic,Sancet,DL,128,4.7,4.480.000,50,"['2', '2', '6', '2', '2']",2,2,6,2,2,2.8
Athletic,Villalibre,DL,41,2.7,800.000,6,"['-', '4', '10', '-', '2']",0,4,10,0,2,3.2
