Team,Player,Position,Total Points,Points Average,Value,On start %,Last 5 matchs points,J12,J13,J14,J15,J16,Avg ultimas 5 J
Cádiz,Jeremías Ledesma,PT,79,4,2.220.000,100,"['5', '13', '-', '5', '3']",5,13,0,5,3,5.2
Cádiz,David Gil,PT,0,0,210.000,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0
Cádiz,Espino,DF,87,4.4,3.980.000,100,"['5', '5', '-', '7', '2']",5,5,0,7,2,3.8
Cádiz,Fali,DF,56,3.3,1.420.000,70,"['4', '5', '-', '-', '5']",4,5,0,0,5,2.8
Cádiz,Varazdat Haroyan,DF,54,3.6,1.360.000,75,"['-', '-', '-', '6', '-']",0,0,0,6,0,1.2
Cádiz,Iza Carcelén,DF,51,3.2,1.210.000,65,"['-', '-', '-', '2', '-']",0,0,0,2,0,0.4
Cádiz,Akapo,DF,38,3.5,830.000,40,"['5', '7', '-', '7', '-']",5,7,0,7,0,3.8
Cádiz,Víctor Chust,DF,29,2.9,830.000,40,"['-', '-', '-', '3', '2']",0,0,0,3,2,1.0
Cádiz,Cala,DF,22,2,810.000,45,"['2', '6', '-', '-', '3']",2,6,0,0,3,2.2
Cádiz,Arzamendia,DF,19,2.4,500.000,20,"['11', '-', '-', '-', '0']",11,0,0,0,0,2.2
Cádiz,Marcos Mauro,DF,3,1.5,330.000,5,"['1', '-', '-', '-', '-']",1,0,0,0,0,0.2
Cádiz,Álex Fernández,MD,72,4,3.010.000,65,"['4', '4', '-', '2', '3']",4,4,0,2,3,2.6
Cádiz,Jens Jonsson,MD,71,3.9,2.000.000,75,"['5', '7', '-', '4', '2']",5,7,0,4,2,3.6
Cádiz,Tomás Alarcón,MD,70,4.1,2.680.000,70,"['7', '5', '-', '4', '1']",7,5,0,4,1,3.4
Cádiz,Salvi,MD,50,3.3,1.610.000,60,"['-3', '-', '-', '-', '-']",-3,0,0,0,0,-0.6
Cádiz,Alberto Perea,MD,39,3.3,1.040.000,35,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0
Cádiz,Álvaro Jiménez,MD,23,2.6,550.000,5,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0
Cádiz,Álvaro Bastida,MD,14,2,350.000,10,"['-', '2', '-', '-', '4']",0,2,0,0,4,1.2
Cádiz,Iván Alejo,MD,11,1.8,450.000,10,"['4', '2', '-', '2', '2']",4,2,0,2,2,2.0
Cádiz,José Mari,MD,0,0,400.000,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0
Cádiz,Jon Ander Garrido,MD,0,0,200.000,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0
Cádiz,Kike Carrasco,MD,0,0,200.000,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0
Cádiz,Fede San Emeterio,MD,0,0,590.000,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0
Cádiz,Choco Lozano,DL,81,5.1,4.970.000,60,"['4', '0', '-', '-', '-']",4,0,0,0,0,0.8
Cádiz,Negredo,DL,64,3.8,4.030.000,45,"['-', '2', '-', '6', '-']",0,2,0,6,0,1.6
Cádiz,Sobrino,DL,45,2.6,1.580.000,65,"['2', '0', '-', '4', '2']",2,0,0,4,2,1.6
Cádiz,Osmajic,DL,24,2.4,720.000,10,"['2', '-', '-', '2', '2']",2,0,0,2,2,1.2
Cádiz,Iván Chapela,DL,23,2.6,520.000,20,"['-', '3', '-', '3', '2']",0,3,0,3,2,1.6
Cádiz,Florin Andone,DL,13,2.6,770.000,5,"['-', '-', '-', '4', '4']",0,0,0,4,4,1.6
