Team,Player,Position,Matchs,On start %,Goals / Goals Received,Assistances,Total Points,Points Average,Last 5 matchs points,J10,J11,J12,J13,J14,Avg ultimas 5 J,Value
Real Sociedad de Fútbol,Alex Remiro,PT,12,87,8,0,71,5.5,"['-', '4', '8', '8', '2']",0,4,8,8,2,4.4,3.960.000
Real Sociedad de Fútbol,Ryan,PT,2,13,2,0,13,6.5,"['12', '-', '-', '-', '-']",12,0,0,0,0,2.4,500.000
Real Sociedad de Fútbol,Aritz Elustondo,DF,14,87,3,1,82,5.9,"['15', '5', '6', '-4', '-']",15,5,6,-4,0,4.4,6.300.000
Real Sociedad de Fútbol,Le Normand,DF,14,100,0,0,79,5.3,"['7', '4', '6', '9', '4']",7,4,6,9,4,6.0,4.590.000
Real Sociedad de Fútbol,Gorosabel,DF,11,67,0,1,51,4.3,"['-', '6', '-', '4', '3']",0,6,0,4,3,2.6,2.770.000
Real Sociedad de Fútbol,Aihen Muñoz,DF,12,67,0,0,25,2.1,"['3', '1', '2', '-', '-']",3,1,2,0,0,1.2,1.410.000
Real Sociedad de Fútbol,Zubeldia,DF,7,20,0,1,25,3.1,"['3', '2', '-', '-', '6']",3,2,0,0,6,2.2,850.000
Real Sociedad de Fútbol,Diego Rico,DF,4,27,0,0,18,3.6,"['2', '4', '2', '5', '5']",2,4,2,5,5,3.6,1.690.000
Real Sociedad de Fútbol,Jon Pacheco,DF,3,0,0,0,9,3,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,370.000
Real Sociedad de Fútbol,Cristo Romero,DF,1,0,0,0,2,2,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,380.000
Real Sociedad de Fútbol,Monreal,DF,--,0,--,--,0,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,750.000
Real Sociedad de Fútbol,Mikel Merino,MD,14,93,2,1,79,5.6,"['10', '6', '10', '7', '-']",10,6,10,7,0,6.6,9.280.000
Real Sociedad de Fútbol,Januzaj,MD,14,53,1,0,61,4.1,"['4', '2', '12', '5', '10']",4,2,12,5,10,6.6,4.310.000
Real Sociedad de Fútbol,Zubimendi,MD,13,67,0,1,56,4,"['5', '3', '5', '2', '6']",5,3,5,2,6,4.2,3.870.000
Real Sociedad de Fútbol,Silva,MD,9,60,0,1,37,4.1,"['4', '4', '4', '2', '-']",4,4,4,2,0,2.8,6.740.000
Real Sociedad de Fútbol,Guevara,MD,9,40,0,0,31,3.1,"['-', '-', '3', '2', '5']",0,0,3,2,5,2.0,1.020.000
Real Sociedad de Fútbol,Ander Barrenetxea,MD,6,27,1,1,33,4.7,"['-', '2', '-', '4', '2']",0,2,0,4,2,1.6,3.700.000
Real Sociedad de Fútbol,Robert Navarro,MD,4,20,0,0,20,4,"['-', '-', '-', '-', '2']",0,0,0,0,2,0.4,520.000
Real Sociedad de Fútbol,Beñat Turrientes,MD,5,7,0,0,13,2.6,"['1', '-', '2', '2', '-']",1,0,2,2,0,1.0,630.000
Real Sociedad de Fútbol,Germán Valera,MD,3,0,0,0,6,2,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,320.000
Real Sociedad de Fútbol,Guridi,MD,1,0,0,0,1,1,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,330.000
Real Sociedad de Fútbol,Illarramendi,MD,0,0,0,0,0,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,1.350.000
Real Sociedad de Fútbol,Oyarzabal,DL,9,60,6,1,71,7.1,"['-', '-', '-', '3', '2']",0,0,0,3,2,1.0,17.910.000
Real Sociedad de Fútbol,Isak,DL,11,67,3,1,51,4.3,"['11', '7', '2', '2', '2']",11,7,2,2,2,4.8,11.760.000
Real Sociedad de Fútbol,Portu,DL,14,53,0,1,50,3.3,"['5', '3', '3', '2', '5']",5,3,3,2,5,3.6,5.570.000
Real Sociedad de Fútbol,Lobete,DL,11,13,2,0,32,2.9,"['1', '2', '2', '3', '1']",1,2,2,3,1,1.8,1.560.000
Real Sociedad de Fútbol,Sorloth,DL,10,33,1,0,32,2.9,"['4', '2', '-', '-', '-']",4,2,0,0,0,1.2,3.570.000
Real Sociedad de Fútbol,Carlos Fernández,DL,--,0,--,--,0,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,540.000
