Team_id,Team,Player,Position,Total_Points,Points_Average,Value,On_start_%,Last_5_games_points,J_3,J_2,J_1,J_0,J_-1,Avg_last_5_games
3,CA Osasuna,Sergio Herrera,PT,12,4,4080000,100,"['4', '6', '2', 0, 0]",4,6,2,0,0,2.4
3,CA Osasuna,Juan Pérez,PT,0,0,180000,0,"['-', '-', '-', 0, 0]",0,0,0,0,0,0.0
3,CA Osasuna,Aitor Fernández,PT,0,0,1040000,0,"['-', '-', '-', 0, 0]",0,0,0,0,0,0.0
3,CA Osasuna,David García Zub.,DF,15,5,4990000,100,"['3', '7', '5', 0, 0]",3,7,5,0,0,3.0
3,CA Osasuna,Rubén Peña,DF,14,4.7,2290000,100,"['5', '7', '2', 0, 0]",5,7,2,0,0,2.8
3,CA Osasuna,Unai García,DF,13,4.3,990000,100,"['3', '8', '2', 0, 0]",3,8,2,0,0,2.6
3,CA Osasuna,Juan Cruz,DF,10,3.3,1390000,100,"['4', '5', '1', 0, 0]",4,5,1,0,0,2.0
3,CA Osasuna,Nacho Vidal,DF,9,3,2530000,33,"['2', '2', '5', 0, 0]",2,2,5,0,0,1.8
3,CA Osasuna,Manu Sánchez,DF,7,3.5,1620000,0,"['3', '-', '4', 0, 0]",3,0,4,0,0,1.4
3,CA Osasuna,Unai Dufur,DF,0,0,220000,0,"['-', '-', '-', 0, 0]",0,0,0,0,0,0.0
3,CA Osasuna,Aridane Hernández,DF,0,0,1860000,0,"['-', '-', '-', 0, 0]",0,0,0,0,0,0.0
3,CA Osasuna,Moi Gómez,MD,19,6.3,4380000,100,"['6', '6', '7', 0, 0]",6,6,7,0,0,3.8
3,CA Osasuna,Aimar Oroz,MD,14,4.7,2620000,100,"['8', '4', '2', 0, 0]",8,4,2,0,0,2.8
3,CA Osasuna,Jon Moncayola,MD,12,4,5200000,100,"['5', '2', '5', 0, 0]",5,2,5,0,0,2.4
3,CA Osasuna,Lucas Torró,MD,10,3.3,3920000,100,"['4', '4', '2', 0, 0]",4,4,2,0,0,2.0
3,CA Osasuna,Brasanac,MD,8,4,1640000,0,"['2', '6', '-', 0, 0]",2,6,0,0,0,1.6
3,CA Osasuna,Rubén García,MD,7,3.5,4070000,0,"['-', '2', '5', 0, 0]",0,2,5,0,0,1.4
3,CA Osasuna,Kike Barja,MD,3,1.5,600000,33,"['-1', '-', '4', 0, 0]",-1,0,4,0,0,0.6
3,CA Osasuna,Roberto Torres,MD,2,2,1010000,0,"['-', '2', '-', 0, 0]",0,2,0,0,0,0.4
3,CA Osasuna,Pablo Ibáñez,MD,2,2,200000,0,"['2', '-', '-', 0, 0]",2,0,0,0,0,0.4
3,CA Osasuna,Javi Martínez Calvo,MD,0,0,450000,0,"['-', '-', '-', 0, 0]",0,0,0,0,0,0.0
3,CA Osasuna,Iker Benito,MD,0,0,230000,0,"['-', '-', '-', 0, 0]",0,0,0,0,0,0.0
3,CA Osasuna,Ezequiel Ávila,DL,20,6.7,11080000,100,"['9', '9', '2', 0, 0]",9,9,2,0,0,4.0
3,CA Osasuna,Kike García,DL,17,5.7,3620000,0,"['4', '11', '2', 0, 0]",4,11,2,0,0,3.4
3,CA Osasuna,Budimir,DL,8,4,6330000,33,"['-', '5', '3', 0, 0]",0,5,3,0,0,1.6
3,CA Osasuna,Barbero,DL,0,0,210000,0,"['-', '-', '-', 0, 0]",0,0,0,0,0,0.0
