Player,Matchs,Goals,Assists
Sergio Busquets,31,1,0
Marc-André t,30,0,0
Jordi Alba,25,1,8
Frenkie ,27,3,3
Gerard Piqué,26,1,0
Gavi Paez,28,2,5
Ronald Araújo,25,4,0
Eric García,22,0,0
Memphis Depay,22,10,2
Sergiño Dest,20,0,3
Ousmane Dembélé,16,1,11
Nicolás González,26,2,1
Ferrán Torres,12,4,4
Pedri,12,3,1
Óscar Mingueza,16,0,1
Pierre-Emerick Aubameyang,11,9,1
Dani Alves,9,1,2
Luuk ,18,6,0
Abdessamad Ezzalzouli,10,1,0
Clément Lenglet,16,0,1
Philippe Coutinho,12,2,0
Sergi Roberto,9,2,1
Jutglà,6,1,0
Adama Traoré,8,0,2
Antoine Griezmann,3,0,0
Martin Braithwaite,4,2,1
Ansu Fati,5,3,0
Yusuf Demir,6,0,0
Neto,2,0,0
Sergio Agüero,4,1,0
Ilias Akhomach,2,0,0
Riqui Puig,11,1,0
Alejandro Balde,4,0,0
Emerson,3,0,0
Samuel Umtiti,1,0,0
Alvaro Sanz,2,0,0
Estanis,1,0,0
Lazar Carević,0,0,0
Arnau Comas,0,0,0
Lucas ,0,0,0
Guillem Jaime,0,0,0
Rey Manaj,0,0,0
Mika Màrmol,0,0,0
Iñaki Pe,0,0,0
Miralem Pjanić,0,0,0
Arnau Tenas,0,0,0
